<start> <duration> <pitch> <velocity> <instrument>
43666 278 29 110 545
43666 163 59 110 2337
43666 163 62 110 284
43833 163 64 110 284
43833 163 36 110 2337
43999 164 40 110 2337
43999 445 29 110 545
43999 164 59 110 2337
43999 164 57 110 284
44166 163 64 110 284
44166 163 36 110 2337
44333 163 62 110 284
44333 163 36 110 2337
44333 163 59 110 2337
44499 445 29 110 545
44499 164 40 110 2337
44499 164 64 110 284
44666 163 36 110 2337
44666 163 67 110 284
44666 163 59 110 2337
44833 163 64 110 284
44833 163 36 110 2337
44999 164 40 110 2337
44999 278 29 110 545
44999 164 59 110 2337
44999 164 62 110 284
45166 163 36 110 2337
45166 80 69 110 29
45166 163 64 110 284
45249 80 71 110 29
45333 163 40 110 2337
45333 1250 72 110 29
45333 163 59 110 2337
45333 444 29 110 545
45333 163 57 110 284
45499 164 64 110 284
45499 164 36 110 2337
45666 163 62 110 284
45666 163 36 110 2337
45666 163 59 110 2337
45833 444 29 110 545
45833 163 40 110 2337
45833 163 64 110 284
45999 164 36 110 2337
45999 164 67 110 284
45999 164 59 110 2337
46166 163 64 110 284
46166 163 36 110 2337
46333 163 40 110 2337
46333 278 29 110 545
46333 163 59 110 2337
46333 163 62 110 284
46499 164 64 110 284
46499 164 36 110 2337
46666 163 40 110 2337
46666 583 71 110 29
46666 163 59 110 2337
46666 445 31 110 545
46666 163 59 110 284
46833 163 64 110 284
46833 163 36 110 2337
46999 164 62 110 284
46999 164 36 110 2337
46999 164 59 110 2337
47166 445 31 110 545
47166 163 40 110 2337
47166 163 64 110 284
47333 163 36 110 2337
47333 278 72 110 29
47333 163 59 110 2337
47333 163 67 110 284
47499 164 64 110 284
47499 164 36 110 2337
47666 163 40 110 2337
47666 278 74 110 29
47666 163 59 110 2337
47666 278 31 110 545
47666 163 62 110 284
47833 163 64 110 284
47833 80 40 110 2337
47916 80 40 110 2337
47999 164 40 110 2337
47999 2584 76 110 29
47999 164 57 110 2337
47999 445 33 110 545
47999 164 57 110 284
48166 163 64 110 284
48166 163 36 110 2337
48333 163 62 110 284
48333 163 36 110 2337
48333 163 59 110 2337
48499 445 33 110 545
48499 164 40 110 2337
48499 164 64 110 284
48666 163 36 110 2337
48666 163 67 110 284
48666 163 59 110 2337
48833 163 64 110 284
48833 163 36 110 2337
48999 164 40 110 2337
48999 278 33 110 545
48999 164 59 110 2337
48999 164 62 110 284
49166 163 64 110 284
49166 163 36 110 2337
49333 163 40 110 2337
49333 444 33 110 545
49333 163 59 110 2337
49333 163 57 110 284
49499 164 64 110 284
49499 164 36 110 2337
49666 163 62 110 284
49666 163 36 110 2337
49666 163 59 110 2337
49833 444 33 110 545
49833 163 40 110 2337
49833 163 64 110 284
49999 164 36 110 2337
49999 164 67 110 284
49999 164 59 110 2337
50166 163 64 110 284
50166 163 36 110 2337
50333 163 40 110 2337
50333 278 33 110 545
50333 163 59 110 2337
50333 163 62 110 284
50499 164 64 110 284
50499 164 36 110 2337
50666 163 40 110 2337
50666 445 36 110 545
50666 163 59 110 2337
50666 163 60 110 284
50833 163 64 110 284
50833 163 36 110 2337
50999 164 62 110 284
50999 164 36 110 2337
50999 164 59 110 2337
51166 445 36 110 545
51166 163 40 110 2337
51166 163 64 110 284
51333 163 36 110 2337
51333 163 67 110 284
51333 163 59 110 2337
51499 164 64 110 284
51499 164 36 110 2337
51666 163 40 110 2337
51666 278 36 110 545
51666 163 59 110 2337
51666 163 62 110 284
51833 163 64 110 284
51833 163 36 110 2337
51999 164 40 110 2337
51999 445 28 110 545
51999 164 59 110 2337
51999 164 59 110 284
52166 163 64 110 284
52166 163 36 110 2337
52333 163 62 110 284
52333 163 36 110 2337
52333 163 59 110 2337
52499 445 28 110 545
52499 164 40 110 2337
52499 164 64 110 284
52666 163 36 110 2337
52666 163 67 110 284
52666 163 59 110 2337
52833 163 64 110 284
52833 163 36 110 2337
52999 164 40 110 2337
52999 278 28 110 545
52999 164 59 110 2337
52999 164 62 110 284
53166 163 64 110 284
53166 80 40 110 2337
53249 80 40 110 2337
53333 163 40 110 2337
53333 163 72 110 29
53333 163 57 110 2337
53333 444 29 110 545
53333 163 57 110 284
53499 164 36 110 2337
53499 164 71 110 29
53499 164 60 110 284
53666 163 36 110 2337
53666 163 72 110 29
53666 163 59 110 2337
53666 163 59 110 284
53833 163 40 110 2337
53833 330 71 110 29
53833 444 29 110 545
53833 163 60 110 284
53999 164 36 110 2337
53999 164 64 110 284
53999 164 59 110 2337
54166 445 69 110 29
54166 163 36 110 2337
54166 163 60 110 284
54333 163 40 110 2337
54333 278 29 110 545
54333 163 59 110 2337
54333 163 59 110 284
54499 164 60 110 284
54499 164 36 110 2337
54666 163 40 110 2337
54666 163 72 110 29
54666 163 59 110 2337
54666 445 29 110 545
54666 163 57 110 284
54833 163 36 110 2337
54833 163 71 110 29
54833 163 60 110 284
54999 164 36 110 2337
54999 164 72 110 29
54999 164 59 110 2337
54999 164 59 110 284
55166 163 40 110 2337
55166 330 71 110 29
55166 445 31 110 545
55166 163 60 110 284
55333 163 36 110 2337
55333 163 64 110 284
55333 163 59 110 2337
55499 445 69 110 29
55499 164 36 110 2337
55499 164 60 110 284
55666 163 40 110 2337
55666 278 31 110 545
55666 163 59 110 2337
55666 163 59 110 284
55833 163 60 110 284
55833 163 36 110 2337
55999 164 40 110 2337
55999 278 64 110 29
55999 164 59 110 2337
55999 445 33 110 545
55999 164 57 110 284
56166 163 60 110 284
56166 163 36 110 2337
56333 163 36 110 2337
56333 2250 69 110 29
56333 163 59 110 2337
56333 163 59 110 284
56499 445 33 110 545
56499 164 40 110 2337
56499 164 60 110 284
56666 163 36 110 2337
56666 163 64 110 284
56666 163 59 110 2337
56833 163 60 110 284
56833 163 36 110 2337
56999 164 40 110 2337
56999 278 33 110 545
56999 164 59 110 2337
56999 164 59 110 284
57166 163 60 110 284
57166 163 36 110 2337
57333 163 40 110 2337
57333 444 33 110 545
57333 163 59 110 2337
57333 163 57 110 284
57499 164 60 110 284
57499 164 36 110 2337
57666 163 59 110 284
57666 163 36 110 2337
57666 163 59 110 2337
57833 444 33 110 545
57833 163 40 110 2337
57833 163 60 110 284
57999 164 36 110 2337
57999 164 64 110 284
57999 164 59 110 2337
58166 163 60 110 284
58166 163 36 110 2337
58333 163 40 110 2337
58333 163 33 110 545
58333 163 59 110 2337
58333 163 59 110 284
58499 80 40 110 2337
58499 164 31 110 545
58499 164 60 110 284
58583 80 40 110 2337
58666 163 40 110 2337
58666 163 72 110 29
58666 163 57 110 2337
58666 445 29 110 545
58666 163 57 110 284
58833 163 36 110 2337
58833 163 71 110 29
58833 163 60 110 284
58999 164 36 110 2337
58999 164 72 110 29
58999 164 59 110 2337
58999 164 59 110 284
59166 163 40 110 2337
59166 330 71 110 29
59166 445 29 110 545
59166 163 60 110 284
59333 163 36 110 2337
59333 163 64 110 284
59333 163 59 110 2337
59499 445 69 110 29
59499 164 36 110 2337
59499 164 60 110 284
59666 163 40 110 2337
59666 278 29 110 545
59666 163 59 110 2337
59666 163 59 110 284
59833 163 60 110 284
59833 163 36 110 2337
59999 164 40 110 2337
59999 164 72 110 29
59999 164 59 110 2337
59999 445 29 110 545
59999 164 57 110 284
60166 163 36 110 2337
60166 163 71 110 29
60166 163 60 110 284
60333 163 36 110 2337
60333 163 72 110 29
60333 163 59 110 2337
60333 163 59 110 284
60499 164 40 110 2337
60499 330 71 110 29
60499 445 31 110 545
60499 164 60 110 284
60666 163 36 110 2337
60666 163 64 110 284
60666 163 59 110 2337
60833 330 72 110 29
60833 163 36 110 2337
60833 163 60 110 284
60999 164 40 110 2337
60999 278 31 110 545
60999 164 59 110 2337
60999 164 59 110 284
61166 163 36 110 2337
61166 163 74 110 29
61166 163 60 110 284
61333 163 40 110 2337
61333 2583 76 110 29
61333 163 59 110 2337
